iter	Passed	Remaining
938	1848	120
939	1848	118
940	1850	116
941	1851	113
942	1852	111
943	1852	109
944	1853	107
945	1854	105
946	1855	103
947	1855	101
948	1856	99
949	1856	97
950	1857	95
951	1858	93
952	1859	91
953	1859	89
954	1860	87
955	1860	85
956	1861	83
957	1862	81
958	1863	79
959	1864	77
960	1864	75
961	1865	73
962	1866	71
963	1867	69
964	1867	67
965	1868	65
966	1868	63
967	1869	61
968	1870	59
969	1870	57
970	1871	55
971	1872	53
972	1872	51
973	1873	50
974	1874	48
975	1874	46
976	1875	44
977	1876	42
978	1877	40
979	1877	38
980	1879	36
981	1880	34
982	1881	32
983	1884	30
984	1886	28
985	1888	26
986	1892	24
987	1895	23
988	1897	21
989	1900	19
990	1902	17
991	1904	15
992	1906	13
993	1909	11
994	1911	9
995	1914	7
996	1916	5
997	1917	3
998	1919	1
999	1922	0
